Initial Text,Completed Text
A baby holding a,rattle looking very sad.
A man dressed in black is,skateboarding at a skate park.
Three adults take shots,by a bar.
group of men (all ages) lounging at,shallow end of public pool.
A little girl is covered in a,towel at a swimming pool.
Cheerleaders performing,on stage.
Baby on a lap meets,puppy on a lap.
A young man parasailing,on the ocean.
A boy in a green t-shirt looks through,a telescope on a grassy area.
A man playing tennis,in the dirt.
Two men near a lake with fishing,poles out into the lake.
A woman wearing a green shirt and a white,skirt is standing with her arms crossed.
a bmx rider,rides the ramp.
A woman athlete launching herself over the,bar during a pole vault.
A man prepares some fish in,a navy blue apron.
Man in sports,jacket taking picture.
Children in a classroom,with stuffed animals.
A man is sitting down with,mountains in the background.
A man doing some roofing work,on a very steep roof.
A man squatting and,wearing a hat.
A man with glasses and sideburns smiles,with a woman for a picture.
A tattooed man in construction equipment and,a harness touches the ground.
A homeless man stand between two,pedestrians on a street corner.
A baseball pitcher on the mound,leaning into his pitch.
Construction workers work on,an old building.
male working on a,computer under surveillance.
a child is sitting next to,an animal on the ground.
A adult man negotiates a city lane on a three wheel bicycle which is carrying a large blue,plastic drum used to hold water which he might use or be delivering
Three young people play around,in a public fountain.
A bearded black man in red cap and,black jacket sitting on the pavement.
"A group of people stands talking to each other, while",one girl in the group holds a bicycle.
Two children are hugging,each other indoors.
Several people stand on,dirt while carrying bags.
A group of men dressed in Japanese style,clothing walk near a large float.
Two men in hard hats standing,in front of a fire.
Three adults and one small boy are working in a kitchen where one of,the men is teaching the boy how to shape bread.
A picture of white,female statues in sunlight.
Many people stand with,their hands raised.
Two people ride their yellow bikes,down the road together.
This dark-skinned man checks his phone while riding,in what looks like a bus.
A tall woman wearing heels,walks down the street.
A German shepherd is,running through the snow.
The girls take a,break in the afternoon.
Two ladies with long hair who are between a red and white,stripe pole are about to kiss each other.
A group of young girls are,running in a field.
People are sitting at,desks in a library.
A man standing in front,of several cliff faces.
A man stands in the snow,as the sun sets.
There are two women waving one hand and wearing white,"shirts, scarves, sunglasses, white gloves, and stewardess hats."
A Ukrainian dancer kicks,up his heels.
Two bicyclists taking a break from,a ride at a restaurant.
Two basketball teams playing a small game watching a,ball as it flies towards the goal.
A bearded gentleman gestures,with his hand.
Four men are standing behind a counter that has a,cash register and tips jar on it.
"Two men, one in a red shirt and the","other in yellow, clean a laboratory."
A worker in an orange hard hat,is up high fixing something.
A man checks the rear tire of a,bike which is packed with gear.
A runner is participating in a run session or race,along a desolate stretch of country road.
Seven children dressed for cold weather on a brick street,at a place where the euro is used.
A blond woman at a table is writing in,a book as two men look on.
The leader from Green Day singing with,a young fan on stage.
"Young African boy, in a dark blue shirt,",sadly sits next to a woman.
A seated child plays,with a croquet mallet.
A lady looking at stuff,while kids play games.
Construction workers are working,on a scene.
"A group of people are outside,",roasting marshmallows in a fire.
A man on a snowboard,is grinding a ramp.
A person in a full-body suit working,on a big piece of metal.
A bald man walks amidst,a group of pigeons.
A boy and a person off-camera,playing a card game.
A lady with a fruit hat and red gloves,holding a black fan and an umbrella.
A man sticks a camera out,of his vehicle while driving.
A youth wearing yellow sits on,a wall holding a skateboard
People walk along,on the street.
People walking along a river,near a beautiful homestead.
A group of people are buying ice,cream from a truck at night.
Rock climbing in,the mountains.
Two boys play,in the sand
Several people standing and sitting in,a classroom or meeting room.
A woman wearing a green tank top and unusual,necklace at a table in a restaurant.
A young child is standing alone,on some jagged rocks.
A tattooed woman in a black dress holds a drink while,sitting at a table in a dimly-lit room.
Several people watch a daredevil on a quad,ride a wheelie down the street.
"Two men, both wearing bright yellow vests and","jeans, are working on a roof."
School aged girls playing,basketball in a gym.
Drum kit cymbals sit under a microphone while a guitarist,and some other people are in the background.
A little boy chasing a ball,through his poor city.
The girl in the blue dress,and hat is smiling.
A man is sleeping on a,bench near a bus stop.
Local dinner attracts a,large crowd of families.
Two soldiers stand,with children.
A white dog with brown markings chases an,orange ball in a grassy field.
Four children hold hands and,jump into a pool.
A little girl stands in a puddle of water,in the middle of the street.
A brown dog is soaked and is,walking out of the water.
Two men are standing on a,football field by football players.
A bride and groom cut a three-tiered,cake in a dark room.
A child playing in,an inflatable pool.
Three Asian women,having a conversation.
A few people are walking,in a waterfront area.
A girl dancing with,four boys watching.
A female runner jogging,along beside a river.
"A man dressed completely in red, white, and blue, with a flag shirt, flag shorts, and","an Uncle Sam hat, poses for a picture at an outdoor fair."
A bright wall painting,on the street.
Schoolgirls in uniforms march in a,parade while playing flute-like instruments.
A mix of kids and adults sitting by a tree,that has different colored flags hanging around it.
A young T-ball player in dark clothes swings at,the ball which hits the ground.
A group of people are standing on,a high place looking off.
A woman reading to,two children outside
A man with a hat and suspenders is walking through,cornfields toward a silo in the background.
A surfer walks along the beach as,he looks out onto the water.
Two women are cooking,together with aprons on.
The child plays among the,leaves in the autumn.
A woman is making pottery,using her potter's wheel.
Man in an office setting jumps,rope in business attire.
Children walking in,the rain.
A person standing on,stilts is bending over.
A young boy gets ready to,swing his baseball bat.
The black and white dog is,running through the water.
Several people are around an,organ at a church.
"A man is examining a bicycle tire, while a woman dressed",in blue is kneeling next to the bicycle.
A boy with a,guitar crossing the street.
Two children,look up.
A man holding a microphone speaking to,a group of people outside.
A woman wearing a dress is standing on a lighted stage singing,into a microphone in front of a large crowd.
A photographer goes prone,to get his picture.
A person wearing a hat and concealing clothing is on a bicycle carrying a large amount of,products on the back with a large group of bicyclers behind her.
Two dogs are playing rough in,a green field of grass.
A man painting a picture of,"buildings, people, and animals."
A man performing and,standing on a rope.
"There is a large gathering of people, with two men in white shirts and one with a flag draped over him in",the front and a man in a black shirt on a cellphone next to them.
"One man on stage, playing a guitar",with lights in the background.
"Four men and two women, most with ear protectors, are",sitting in the hold of a boat.
A merchant sells various food,items from his shop.
The bearded man in the trolley,is applauding to his fans.
"A woman in a white shirt, and",black pants trimming a tree
Woman walks in front of,building carrying purse close.
People are in a,laundry mat washing clothes.
A man and his guitar smile,at life outside the window.
Five people are standing with three dogs in,the green field beside the road.
The two girls laid,on the grass together.
"An older man with glasses on stands while cutting a cake,",as a woman and young girl sit waiting.
"A man wearing a blue shirt, blue cap, and jeans is",washing a window while hanging from a rope.
A young man and,woman enjoy a meal.
A catcher tries to beat a,runner to home plate.
Three dogs on,a sidewalk.
Children are playing,monopoly together.
Two men in jeans enjoying,cooking in the kitchen.
A man with a green,shirt on is working.
White dogs stand near,a sheep or llama.
a train engine with a water,tower in the background.
One biker wearing a helmet is,jumping over an obstacle.
a young girl in a flowery,dress surrounded by watermelons
"Surfer wearing blue long-sleeve shirt with black and white shorts,",causing a splash jumping with their surfboard.
Three people jumping,on a lake.
A muscular boy is in a gym and is using,his hands to stand on balance beams.
People in a,crowded outdoor market.
Several people on a,"beach, and a ball."
"A woman jumping who is wearing a blue t-shirt and brown skirt, is standing next to","a man squatting who is wearing a black t-shirt, and blue jeans."
Gentleman han trouble seeing his camera,with his sunglasses on.
A person across a field of snow,with a mountain in the background.
A male attempts skateboard,tricks by a bridge.
A young man working,on a artistic painting.
Woman in a black skirt decorating,chairs for a beach wedding.
A beige dog with a collar looks on as,a brown dog swims in the water.
Two women and an,officer departing an airplane.
A red metal sculpture is surrounded by,a large number of people.
A group of people camp in,tents near some trees.
A man is giving some kind of,magic presentation to a family.
A group of people is jumping and smiling in a forest in,"front of a sign that says ""Bienvenue Welcome""."
A child is pushing or kicking,a bird with his foot.
Painted woman decorated,with kitchen utensils.
"Dark-haired white woman, wearing a white t-shirt",and jogging pants rakes leaves
Two guys and a girl walking,together in a busy street.
The black and white dog catches the,tennis ball in his mouth.
A woman cutting construction paper,for a detailed project.
A girl waves a flag as she sits with a boy,in the backseat of a firetruck on parade.
A red vintage automobile parks in,front of the Karlova 25.
"Two young asian girls walking, looking up towards",a ride at an amusement park.
A fat man wearing a tan t-shirt with black and gray hair brushes his teeth with an electric toothbrush in,a room with a calendar on the wall and a lamp on a dresser.
An individual sitting on the dock at,the beach looking at the ocean.
Two girls in a,park wearing sunglasses.
A contractor explaining details about a construction on,a scale model of the building.
A young lady braids blue ribbon into,a another young lady's hair.
A woman with a black helmet,riding a brown horse.
A quad sends dirt,flying into the air.
A group of men are hugging each,other on stage after a performance
Two men are competing in a track,and field event involving hurdles.
A small child smiles while swinging,inside a green playground toy.
People near railroad tracks,in the woods.
Two motorcycle racers go around a sharp corner while,leaning very close to the ground
A black and a black dog,are running side by side.
A man wearing some type of parachuting equipment walks up to a,pink and green parachute in an open field.
The high school cheerleaders,perform the big routine.
School band dressed in blue with,their faces painted playing music.
A cheerleading team of young girls,performs on an outdoor venue.
"The man, who is wearing the handkerchief, is performing a",task with the tub while the woman watches.
A group of girls wearing dresses,and skirts gathers outside.
a woman running around a course with,a gray dog jumping a railing
A young man doing flying skateboard stunts in a park,while being filmed by another young man.
Snowboarder holding a blue snowboard,and a green snowboard.
People moving by a,corner in a town.
a man is on,stage with a microphone.
A pack,of Pugs.
People listen intently in,a conference room.
A street in a town that looks,like it's kept well and modern.
Surgeons observe a doctor in green,scrubs performing a surgery.
A blond woman is reaching to complete,a dig while playing beach volleyball.
Two children are jumping,off a wall.
A boy is jumping,on a bed.
A boy grimaces as he jumps,high in the air.
Boy in green hat,reacts to historical spot.
A woman is dressed up with forks,attached to her head and body.
A black horse and its rider are clearing a,3 rung high jump in a competition.
A woman stands outside of,a church door alone.
A lady dressed in a kimono,is looking at the camera.
3 men with yellow vests,digging a oblong hole.
A group of young women,poses for a photo.
This lady looks mad,while eating her meal.
"A man, wearing a helmet, biking",though grass and dirt.
A man at a rodeo who may,have fell off the horse.
A person staring at a wall that,has a bike against it.
An October festival in,the town square.
Three boys are looking through a fence lined,with rocks on the opposite side.
closeup picture of a man with a,nose ring and a brown shirt
A military soldier aims a gun from,the side of a building.
A woman in a yellow shirt falls,to the ground onto her knees.
Two white standard poodles playing,tug-of-war in the snow.
A woman winds up to throw a,red bowling ball down the lane.
A young lady with a green purse sits with a,"drink, while people in the back smile."
A man in a white apron is cooking something with eggs on a,pan outside for a woman in a tan jacket.
Soccer players in blue and white fight,for the ball in midair.
A woman with her baby pose in front of a,giant red Chinese lantern at a monument.
"A man wearing a white construction hat, gray shirt and holding a yellow and",black drill stands in front of an American flag saluting.
Children playing in front of a sign,"for the ""Hartman Prehistoric Garden""."
The Oklahoma Sooners football team discuss,their game while fans cheer.
"Two dogs are walking on a rugged path, one with a blue",rope tied to a red object in its mouth.
A group of boys pouring soda into a white plastic,bucket while a man pumps a bicycle pump.
Two young children are,holding a baby.
A man wearing a Facebook lanyard,is holding a microphone.
Three people sitting and one,is lifting his leg.
Two boys in huge,bubbles on the water.
A young student receives fencing instruction from his kneeling teacher while a,potential opponent and a woman gaze behind them.
"A man is holding a baby above him, while a man watches; they",seem to be in front of an inflatable playhouse.
Two blonds dressed in evening gowns,and ornate hats are laughing.
Guy playing cricket lying,on the grass
The men are sitting by a fire,outside with two black dogs.
Dog chasing brown cow,and black cow
A young lady in a light blue outfit,walking along a beautifully designed sidewalk.
A young boy jumps off of a,wooden dock and into the water.
Several different colored dogs running,in a snowy field
A guy jumping downhill took a,still shot of it.
"Three men, a woman, and a baby eat at",a table with a red tablecloth outside.
A skateboarder in a green shirt,is performing a jump.
"A group of people are running, and some of the",runners are wearing the Native Americans headdress.
Men and women in Scottish garb play the bagpipes,as a runner approaches on the street.
"Girl in red, with striped tights,",playing violin outside of building.
a man with a young child playing with,the man at a barber shop
"A boy, wearing a gray shirt and black pants, is bowling with a black",bowling ball with only two pins left to knock down.
a man is carrying a load,of fruit through his crops.
Conductor leading,his orchestra.
A cyclist is attempting to go down,the steps on his bike.
A man is wearing a blue shirt that,is rolled up above his abdomen.
Stage hands build a stage and,set in a theater.
A dog is running,toward the camera.
A crowd of people,together in one area.
A crowd is gathered around a,man watching a performance.
"Two young bespectacled young women, one of",which is blow drying her hair.
A man and woman kiss as they,stand along a gravel path.
A happy man in a blue collared,shirt is typing on his computer.
Toyota Rally car plows through a deep puddle,of mud on the race course.
Young boy eats chocolate ice cream,out of a cup.
Man with glasses uses his iPhone at dinner,table with a glass of wine.
A man in a teal,shirt reads a newspaper.
A white dog is wading in,natural water with algae.
"A man and woman rest on a sofa, with",holiday wrapping paper beside their feet.
A group of people raise their hands and scream as,they swoop down on a roller coaster
Line of people waiting to,checkout at a store.
Two women that are getting ready to hit,a volleyball in a volleyball game.
A woman with brown hair and wearing a brown shirt has a drink,while perusing a book with photographs of people in it.
An elderly man marches at a rally to thank,U.S. military while holding a flag.
A small boy in a red coat is on,a man holding a dog's shoulders.
A man with his hand,around a woman's throat.
a wrestler celebrating,his victory
The white dog has a,ball in its mouth.
A man in an,alley with his mule.
A lady in a scarf placing,rice down to roll sushi.
A man on,a bmx.
several men in biohazard suits carrying a human,looking doll on a rolling bed
Street dancers in blue,and red pants.
A boy in a striped shirt is preparing to,take a picture with his camera.
Two people jumping from a plane and,about to release the chute.
A young man leans against a light pole next to a full trashcan while a bus decorated with an,image of the Statue of Liberty and a flag passes on the street.
Two men are standing on the street,talking while another walks by.
Two women next to,a picnic table.
a fireman in uniform with a mustache,and goatee by his firetruck.
A blue building on fire with black smoke pouring,out with a firetruck on the scene.
a woman walks,to the cows.
"A man, mouth agape, and wearing a multicolored behind a podium with writing on the front of it",with upside down buckets to his left and crates to his right.
A skier in a black top making a jump with a blue,and white sign on pile of snow underneath.
Man in gold jewelry and,shorts by a parade.
three children are enjoying lunch on,a picnic bench together.
"Several men of Asian descent, along with US military members, are sitting in","a lunch meeting, while talking informally and ordering their food."
A blond man is holding a map,while sitting in a boat.
A balding man waving with both of his hands on a,semi-crowded bus filled with people dressed for warmth.
This child is having,a photo posing.
A blond woman sitting with her legs,crossed with her eyes closed.
A person rides his mountain bike down,a dirt road very fast.
A photographer is having a,conversation with a woman.
Man in an orange,shirt walking outside.
A woman with blond-hair wearing a white,karate gi performing a punching move.
Baseball players are playing on a field,in a stadium filled with people.
Four dogs in a circle on the grass in the distance and,a black dog on the grass in forefront.
Several asian men sit,around and talk.
A black and white dog jumps a red and white hurdle,on a lawn with other dogs and people.
A group of people are,rafting on river rapids.
A small child swings back,a red baseball bat.
Two dogs of different breeds looking at,each other on the road.
a brown and white dog with his tongue,sticking out jumping on some grass
Group of people dance with,smiles at their faces.
There is a lady holding a pink,stick and she is also jumping.
A man in a green shirt and,red sunglasses is walking outside.
A woman is,working with wine.
A crowd behind a fence is watching bicyclists ride up,a hilly road with motorcycles behind them.
a emergency were paramedics and the fire,department were called in to help
Man is performing a trick with a,bicycle off a brick wall.
a man walking in the side,street with his head down.
An overweight man sits behind a,"red drum set, playing."
A couple is dancing,in Costa Rican outfits.
People are having leisure,time at the stream.
An elephant wearing a red and blue,scarf walks along the brick road.
One horse presses its nose to,another horse in a field
A woman in a green coat standing,next to a telephone stand.
A man on a riding lawn,mower is pulling a tree.
"Three men playing soccer, their uniforms indicating that one of them is from one team and","the other two from the other, are all after the ball."
"Two Asian men are working in rather sparse quarters,",a fan running in the background.
A man in a white shirt is walking a,dog on the side of a street.
Two motorcycles and,their riders.
A man rows,his boat below.
Female basketball players,competing to win.
Three women wearing,shorts are jogging
At least four people,playing ice hockey.
A woman holding a microphone is,talking during a Powerpoint presentation.
"A man wearing a t-shirt that says ""Gigolo"" stands",at the counter talking to someone.
A man carrying steel,beams across a lumberyard.
A woman wearing a yellow hat,is sitting on a porch.
A small boy looking,at the camera.
a boardwalk with elegant lighting fixtures and a mobile food,and beverage cart where people can buy items.
A couple sitting together on a flowered,sofa with an older woman.
A woman sits at a,table in a bookstore.
Three children rolling down a green hillside towards a parking lot where,a woman is getting into a white car.
A young boy chases,after a bird.
"A man is standing,",looking at a lake.
A seated man,shooting a rifle.
A young adult is throwing a,softball to home base.
A young girl going,down a tube slide.
A small child running,down a bridge.
"Man in a small boat, with a white","turban around his head, transporting shrubbery."
A family is standing on a brick street talking to,an artist holding a large sketch pad.
A man wearing a black t-shirt is,playing seven string bass a stage.
Two scientists research biology,in a lab.
Two young African American boys sitting at,a desk in a classroom.
An Olympic cyclist with the number 9 from,Espania riding down a dirt path.
At the end of a long alleyway between two,city buildings are two people walking side-by-side.
"A young girl, wearing a yellow tank top, is playing",outside with other children in the background.
A man and woman in,front of a grill.
A man in a white shirt is performing a,high kick with his right leg.
A young girl swings on a swing set,in front of grass and trees.
A little baby girl in a blue top and cap,sitting in the grass licking her fingers.
A young man in a black shirt is looking at and pointing to a,"message on a giant machine bearing the brand name ""Blackberry."""
A lady is competing for the olympics' tennis match by,trying to hit the ball in midair.
A female gymnast wearing a blue,leotard is reaching backwards.
A man with a,cane walking down stairs.
People gather to hear a speech,related to the Armenian Genocide.
A balancing act on one wheel of a bicycle looks,much easier than it probably really is!
A young lady is sitting in a floral setting,with a sports drink in hand.
Greyhounds race on,a track.
A downhill skier,races near trees.
There are people sitting in seats,that are in rows.
A child is looking up at an adult while sitting,in a stroller on a city sidewalk.
Two men are smiling,at their roast turkey.
An ethnic man in an orange shirt uses stencils to,trace red letters onto a white circular board.
A woman dressed in a pink jumpsuit is performing a martial arts,or dance move in an outdoor covered area.
A shirtless man has his arms,wide open near a waterfall.
Several women in brightly patterned skirts,sit by a stone wall.
A young man is swimming,in a swimming pool.
A man is sitting,in a chair fishing.
A little kid wears some funny glasses that are,way too big for his face.
Women laying down,on a chair.
A gathering of,people in Birmingham.
Aaron Rogers and Donald Driver celebrating on,the field after a good play.
A man dressed in warm clothing sleds,behind four dogs in the snow.
A lot of people iceskate,on a cold day.
A man stands in front of,a very tall building.
A woman in a patterned skirt and black leather jacket is,looking at vegetables being sold on the street.
Children play with,large hoops.
A boy wearing black pants and gray,shirt is drying a cow.
Man sitting in a chair wearing,a hat and scarf.
Two women are standing amidst kitchen appliances and,"under a sign that says ""KitchenAid."""
A boy wearing brown hitchhiking on a,road with cars passing by.
A man in a brown jacket,sitting alone reading the paper.
The officer is standing,near a bush.
A restaurant worker in an,apron preparing waffle cones.
Some men work to paint and,a sand a cement area.
"Two women sitting under a tent, one with shirt red-hair, dark clothes drinking and the other laying down",playing the guitar in a green top and jean peddle pushers both barefoot.
A man in black seems to,be hanging upside down.
Three blond girls play brass instruments,behind a single music stand.
A woman stands in front of a,"man holding a small, smiling baby."
Women and child walking down a,path in a grassy park.
Four women dressed in red shirts are doing the hula,dance while several people in the background watch.
A man in a green shirt,is writing at a desk.
A white-haired and bearded man reclines,on a park bench.
A group of people,hike in skis.
A dog is running in water with,a red stick in its mouth
A woman standing in front of a stove,is stirring something in a pan.
One police officer standing on the street along,with three police officers on horseback.
A child in a,saucer in the snow.
A motorcycle rider is riding down the,street of a small town.
Customers are sitting,at a restaurant.
A smiling woman embracing a young girl in,a jacket with an apple print.
A hiker walks on rocky ground at,the base of a foggy mountain.
A woman in a field of,flowers is blowing on them.
Two men acting while,several others look on.
A black and white dog with a,stick in its mouth is swimming.
A woman plays the drum,next to Chinese writing.
a young child swimming in a pool,wearing a blue life jacket
A boy doing a trick on top of,a guard rail on inline skates.
An Asian woman rows a,boat loaded with supplies.
A dog with mud stuck on his,underside is running on grass.
A young child plays a musical instrument,in front of another boy.
A cat watching a,dog with a toy.
The bike leader pedals for his life,as competing countries gain his tail.
A man and a,pelican on a boardwalk.
Old man with a,black coat and hat.
A tall black man in yellow pants shows,"his rollerskating skills, while pedestrians watch."
"a person standing on the sidewalk, next","to a window, wearing warm clothes"
A man and a woman locking arms (wearing expensive clothing) next to glass display,(perhaps retail stores) on the sidewalk in an urban setting.
"Three people, two in white, one in","red and black, are playing soccer."
One man wearing brown and red,is playing golf indoors.
Man eats his food,with his hands
A young girl with her face painted looks into a,mirror held up by an older woman.
A woman and two men wearing hats and glassess,are standing under a avrovulcan.com sign.
A man in a blue shirt and white,helmet is standing on the roof.
A man wearing a bathing cap and,goggles is swimming in a river.
A police officer in a black uniform and protective,gear is standing in a crowd.
a dog is stepping out into the,water towards the sun's reflection.
"Two people walking down a sidewalk, both",of which are carrying balloons.
A man in a white shirt is attempting to,feed a baby in a highchair.
"Background skiers watch as a helmeted, goggled skier raises one arm in the","air as he hangs suspended, mid-jump on a snowy slope."
A girl is about to kick a,soccer ball in the grass.
Two cyclists are waiting,at a crossing zone.
People sitting and eating,inside a diner.
A group of ducks,in a field.
A person has rolled,a bowling ball.
A man in a purple shirt attempts tricks with a,skateboard inside a heavily graffiti painted area.
A boy with a t-shirt on that says FROG! stands,leafing through the pages of a book.
The dog is running,in the grass.
"Wedding attendees dancing a little,",before the bands starts.
A group of people watching a,man reach for a swing.
A woman in a multicolored top is walking down the street and,holding a black purse while talking on her phone.
A highly decorated man leads four beautifully clad woman in colorful clothing in,what appears to be a religious dance in Thailand.
A man in a red jacket and jeans stands next,to a column in front of a store.
A dog runs on the green grass,near a grove of trees.
The older man and the boy are,walking on a busy street.
A man sits on a bed reading,a blue piece of paper.
Two people are sitting close together on,a bus with a scratched window.
Black dog running with,his tongue out.
A woman looks at,pictures in a gallery.
Man wearing all black sets,up his curling equipment
Two girls trying to get to the,bus station to go home.
A middle-aged man is standing in a body of water with a,yellow bucket and a toothpick in his mouth.
A man with a backpack and a,walking stick explores a mountainous terrain.
Two men on horses race around the ring,trying to rope a young calf.
A goalie attempts to block a,shot in a hockey match.
A woman wears a black hat with an american flag,on it and looks at the camera scarily.
An older person sitting beside,a body of water.
A man carving a,piece of meat.
A woman wearing a red and white,"striped shirt outside, surrounded by trees."
A black lady wearing boots and a long coat is sitting on a,bench inside a subway train with earbuds in her ears.
A boy does a flip while another,boy stands on the Matt.
African children at a well with one retrieving,water by pulling up a bucket.
A old man having,a beer alone.
A group of street,musicians laying music.
Bridesmaids and bride grooms are posing for a,photo with the couple getting married.
a bald man with a tattooed head stands next to a man with,a brown t-shirt in front of a transparent awning.
a young dirty faced asian,girl carrying a pillow.
some people are browsing,at an outdoor market.
Two water polo players wrestle for the ball while a goal keeper watches in front of a,goal with an Angry Birds advertisement on the back of the net.
A man gives a presentation,to a crowded room.
A climber in a red shirt is secured by a,rope as he looks down a crevasse.
The man is riding a,motorcycle over jagged rocks.
A man watching as a woman fires a gun,with a smile at a firing range.
"Kids jump in a sack race, as a little girl on the beach with a minnie",mouse bucket with her shovel scoops up the sand in piles.
Three dogs swim,in the water.
A man in a white,outfit on a bench
Two people (a man and a woman),leaning up against a building conversing
A messy blond-haired baby feeds an individual,wearing a red shirt on grass.
A dog in a competition,jumps over a hurdle.
Slanted aerial view,of a cafeteria.
Two men kneel on a green and red mat next to each other while various,objects hang on racks on a white wall behind them.
Nine black and brown pugs in harnesses,playing on a grassy lawn.
An old man with a cane walks through a green pasture,on a sunny day against a blue sky.
A man sings and plays guitar in a public area,"made, while people sit on wood benches."
Two boys splashing each,other in the ocean.
"Two dogs tussling over a stuffed toy on a yard,",with a boat in its carrier the background.
A biker reaches the apex of his,ramp while onlookers watch his feat.
A young boy performs a backflip off,"a cliff, into the sea."
Two African-American men are participating in boxing match in which one of,the boxers is throwing a punch at his opponent.
a young blond boy smiling,standing on a staircase
"A pitcher, wearing a dark green jersey and a green and yellow cap, is delivering",a pitch and is pictured in his follow through motion.
A,dog breastfeeding.
Woman with a hat on climbing a cliff,near a large body of water.
Two women share gossip while,waiting for a bus.
Two individuals are running down a street,in some sort of running competition.
A woman wearing a blue business suit sitting,on a bench with 2 suitcases.
A smiling man is,jump roping inside.
A bike racer hold up a,hand while riding a motorcycle.
A woman with a flower hat sits,behind a man at the pier.
Two policemen standing in,a parking lot.
"In a crib, an infant in a",white shirt and diaper wakes up.
A man in a,baseball cap juggles.
"People standing on a beach, one",under a green umbrella
An older man performs repairs on,a young man's bicycle.
A skater is jumping in the air,over some stairs at night.
This man is walking down the street with,a hand in his pant pocket.
A crowd of men dressed as Japanese,samurai are striking various poses.
Two young children are walking,across an open field.
Three men in suits,putting their hands together.
Two police officers and one man in civilian,clothes are standing on a street.
A man with sunglasses is,sitting on a deck.
A girl smiles and a boy,looks up at her.
A pretty blond-haired woman is talking to a,professionally dressed man on the sidewalk.
Two girls wearing bikins are,standing in the lake.
A group of people in a village,preparing for a days work.
family walking next to a,wall with graffitied wall.
A man sitting behind a,small cart painted blue.
A celebration with,lots of people.
A man in a plaid suit,coat gestures with his hand.
A crowd of people,surround a fender bender.
A group of men work on the,railroad tracks next to a truck.
A person is taking a picture,of two people kissing.
Two black boys sit in fishing,boats with their casting nets.
A cameraman looks up into the,crowd at a football game.
Individuals sit contently on park benches under newly,blossoming trees in an urban area.
Snow skiers gather at the bottom,of a snowy hill.
Men work on and around equipment on,a construction site at night.
A little girl in a blue shirt and,"jeans, sitting on a swing smiling."
"A bull is charging a matador in rodeo, while",three other men look at the animal.
Old man with glasses,works on a loom.
A boy throws a soccer ball from,the sidelines in a soccer game.
A woman sleeping in a yellow,and tan striped chair.
Women wearing rollerskates sit,on the floor.
A man gets a better vantage point,by standing higher than the crowd.
A big black dog chases a big brown dog with a green object,in his mouth while another big brown dog tags behind.
A brown dog is rolling over in the grass while a,white and brown dog stands next to it.
A policeman wearing a neon green vest has a,whistle in his mouth while directing traffic.
Two people ride in,a orange race car.
A person wearing a white,hat climbs a rock.
"Swimmer in a red bathing suit, white cap, and",blue goggles emerging from the water
People gather around,a car wash.
Two cyclists racing to,the finish line.
Man about to hit a tennis,ball with 3 seconds left.
An older store clerk dressed in a plaid shirt standing,behind a counter of a jewelry shop.
Men dressed in red and white are standing on one,"another's shoulders, creating a 3 story human tower."
A man in green hitting a,volleyball over the net.
A woman outside on a street wearing,a yellow shirt and sunglasses.
The man drives the lane for a,shot in the outdoor basketball game.
Men are working,near a dock.
An Indian man is in a hospital getting help,from a nurse while a woman watches.
A young boy standing in a,courtyard turning a crank.
The band is about to get started on,a long night of great performance.
A red liquids travels down a grate,as it leaks across a street.
Man jumping for joy in a,rainstorm at the beach.
a woman sticking her head out of her tent,on the side of a snowy moutnain.
A woman in a green shirt,and black pants running.
A Marine,officer saluting.
A brown& white greyhound,dog sniffs the snow.
A man leans against something to text while,people pass by on the sidewalk.
A smiling blond woman waves as she stands in,front of a table covered with food.a.
A band of asian students with different instruments wearing a white uniform with a yellow tie around the waist and a red tie across,the chest with either a white head wrap or a red hat with a long white tassel.
A young boy in a striped shirt is playing,in a outside on a porch.
A boy skips a,rock in a stream.
Musician in the middle,of a large crowd.
A man wearing black playing a,red accordion while sitting.
One man wearing glasses sits in front of an Apple computer and drinks from a cup while another,man wearing a cap and glasses stands in front of a microphone.
A group of people gather in the,parking lot of a water park.
A group of four,guys wearing tutu
Brown dog looks,mean while running
A young woman and young man are walking arm,and arm past a jewelry store.
A man in a dark shirt and,orange lanyard speaking to an audience.
Many people are outside,of a large building.
A brown dog in midair with,a Frisbee in his mouth.
A dog is standing on a footpath,in front of a tree.
Two people in cold,weather gear skiing.
"A group of young children, boys and girls,",are playing a game of soccer.
A man in a blue helmet is walking,beside smoke and a red truck.
A woman in a blue striped shirt helps her child in a multicolor,striped shirt on a brown horse on the carousel.
A boy wearing an orange shirt,and brown shorts is jumping.
A black woman and,two black men outside
three riders stand around their,horses in the mountains.
A man is preparing,a hot beverage.
A man with a brown hooded jacket,is kissing a girl with sunglasses.
A young couple prepare a salad,together in their kitchen.
"Two dogs in a rocky field, face to","face, with a stick between them."
A brown and black dog is rubbing,his face in the grass.
"Two men riding horses, one on either side of","a cow, in a rodeo competition."
The little boy in the blue,shirt is surrounded by cheerleaders.
"A woman in a kitchen, leaps in the air while attempting",to balance a glass cup in one hand.
A man with his shirt off sweats profusely as,he takes a break by a wall.
A little boy with,his sunglasses on.
A man in a white,shirt pulling a barrel.
A person doing a handstand,on a street corner.
A child in a bicycle helmet and a man in casual clothing are,"crouched next to a toy tricycle, pretending to fix it."
Two young women in dresses are,playing with hula hoops.
A young boy in a white karate,gi executes a jump kick.
