index,Xi,Xj,model
789,"A small child wearing a pink hat, blue jeans, and","A small child wearing a pink hat, blue jeans, and a red sweater walked into the room.",qwen2.5:latest
790,Group of people in a,group discussion about their project ideas,qwen2.5:latest
791,Kids riding behind an,motorcycle without helmets,qwen2.5:latest
792,Two women walk on a sidewalk,holding an umbrella against the rain,qwen2.5:latest
793,People are waiting in,line,qwen2.5:latest
794,"Men standing in a sand covered park, in",wearing hats and holding flags are celebrating a local festival.,qwen2.5:latest
795,An Arabic man sitting down looking,at his phone in a cafe,qwen2.5:latest
796,An older man stand outside,holding his cane and watching the passersby,qwen2.5:latest
797,"Five people, some of them children",were at the park playing games.,qwen2.5:latest
798,A man and his dog are,walking in the park on a sunny day,qwen2.5:latest
799,Two women and a man are all,in agreement on the plan to start a community garden.,qwen2.5:latest
800,"Two children, one in a red jacket and another in a",blue jacket,qwen2.5:latest
801,A Father and son playing with a wooden,toy boat in the bathtub,qwen2.5:latest
802,Three women walk through a,park in silence,qwen2.5:latest
803,An older lady in a dining area,"sat alone, lost in thought",qwen2.5:latest
804,A gathering of,people from all walks of life,qwen2.5:latest
805,Two black dogs are jumping in,over the grass field,qwen2.5:latest
806,A yellow Labrador running,through the grass field,qwen2.5:latest
807,People wait for their order at,the counter.,qwen2.5:latest
808,A child is playing the accordion,in the park on a sunny day,qwen2.5:latest
809,A white woman wearing white pants and a black top,was spotted walking her dog in the park.,qwen2.5:latest
810,Employees at a sushi restaurant prepare,sushi by hand using fresh ingredients.,qwen2.5:latest
811,The girl is rolling up a,cigarette,qwen2.5:latest
812,A young model poses for her,photographer in a stylish outfit,qwen2.5:latest
813,A man sitting on a wall and,watched the sunset in silence.,qwen2.5:latest
814,A person in tan pants is shaving skin off,a person in tan pants is shaving skin off a coconut.,qwen2.5:latest
815,A young man is,standing in front of a large mirror examining his outfit.,qwen2.5:latest
816,A man and a woman wear gloves,while handling hazardous materials.,qwen2.5:latest
817,Several people are gathered in a room with,the lights dimmed and decorations around.,qwen2.5:latest
818,A boy is,running towards the playground,qwen2.5:latest
819,A man playing a musical instrument,sounded like a dream.,qwen2.5:latest
820,A photo shoot is talking place with,models posing in various styles and settings.,qwen2.5:latest
821,A middle eastern woman is weaving,on a traditional loom using vibrant threads,qwen2.5:latest
822,A man is playing the,piano softly in the corner,qwen2.5:latest
823,A group of people gather with only their legs showing,to play a game of musical chairs.,qwen2.5:latest
824,A security officer,checked everyone's ID before allowing entry.,qwen2.5:latest
825,Two dogs begging a partially seen person,to give them treats,qwen2.5:latest
826,A man in a white suit,walked into the room confidently,qwen2.5:latest
827,A woman gives the thumbs,up to her performance.,qwen2.5:latest
828,photographers are taking pictures,of the bride and groom during the ceremony,qwen2.5:latest
829,A tired woman rests her head on,her pillow,qwen2.5:latest
830,A man is cleaning the,window thoroughly to ensure a clear view.,qwen2.5:latest
831,A sports team all dressed in blue,played a match against the red team,qwen2.5:latest
832,Two dogs playing together,in the park happily wagging their tails,qwen2.5:latest
833,"A woman in a kitchen, leaps in the air while attempting",to catch a high shelf spice jar.,qwen2.5:latest
834,A man and a woman are up on a,stage,qwen2.5:latest
835,"A man in a blue, yellow and","A man in a blue, yellow and red shirt walked past the store.",qwen2.5:latest
836,A man in a red jacket and,blue jeans walked past the cafe.,qwen2.5:latest
837,A woman in a black blouse carrying a phone,walked past the café,qwen2.5:latest
838,A child in a red shirt rides a zip-line while,his parents watch from below,qwen2.5:latest
839,Two college students talking about,their future career paths,qwen2.5:latest
840,"A Caucasian mat sits passively with his eyes closed as he gets his longer,",African American friend prepares to give him a haircut.,qwen2.5:latest
841,A woman is holding a baby,and smiling warmly at its innocent gaze.,qwen2.5:latest
842,A child is stretching out a slinky while,it's hanging from a pole.,qwen2.5:latest
843,A man sits at,the edge of his seat waiting for the movie to start.,qwen2.5:latest
844,A man is being suspended in some sort of,of webbing from a ceiling.,qwen2.5:latest
845,A man in glasses and wearing a,blue suit,qwen2.5:latest
846,A man is riding a bicycle outfitted with a,pump basket for collecting donations.,qwen2.5:latest
847,One girl is helping another to take,off her coat,qwen2.5:latest
848,"With the night sky in the background, an extreme snowboarder launches himself, off four wooden",offspring poles set up for a trick.,qwen2.5:latest
849,"As part of an audience, a woman in a black top",wore a determined expression while listening.,qwen2.5:latest
850,The man in the gray shirt is filling in post holes,for planting trees in the park,qwen2.5:latest
851,A guy and girl waling with,hands intertwined,qwen2.5:latest
852,A water bird standing,on a log in the river,qwen2.5:latest
853,Guy jumping in front of,the train to save a child,qwen2.5:latest
854,Two men appear to,be arguing over a missing wallet,qwen2.5:latest
855,Three people standing in line at a store and one,pulled ahead to get a better position,qwen2.5:latest
856,Two men are trimming palm trees and,they accidentally cut off a neighbor's晾衣绳。,qwen2.5:latest
857,Chef in an apron using a knife to cut,a fresh apple into slices.,qwen2.5:latest
858,A man and woman,were seen walking hand in hand at the park.,qwen2.5:latest
859,A brown dog and a black dog,were playing in the park together,qwen2.5:latest
860,A woman crosses the street near a,busy intersection,qwen2.5:latest
861,A male driving a bulldozer to,clear debris from the construction site,qwen2.5:latest
862,Male vendors are selling fruit in an,open market area,qwen2.5:latest
863,A team mascot raising,the flag to cheers for the players,qwen2.5:latest
864,A boy wearing black pants and gray,A boy wearing black pants and gray shirt walked into the room.,qwen2.5:latest
865,Three men wearing hats are sitting,on the bench in the park.,qwen2.5:latest
866,A little girl frozen as a Praying,A little girl frozen as a Praying Mantis stood quietly in the garden.,qwen2.5:latest
867,Three students standing together in,the hallway were waiting for their teacher.,qwen2.5:latest
868,Someone walking along,barked at their phone loudly.,qwen2.5:latest
869,Five children are playing,in the park joyfully,qwen2.5:latest
870,"Swim meet showing one swimmer in action,",is capturing the moment she dives into the pool.,qwen2.5:latest
871,Rock band performing on,stage,qwen2.5:latest
872,A boy with swimming trunks and goggles jumping,into the pool,qwen2.5:latest
873,A dog is jumping,over the fence,qwen2.5:latest
874,The man in the gray hooded,wore it to conceal his identity.,qwen2.5:latest
875,A woman wearing black,stood in the corner observing the scene,qwen2.5:latest
876,A teenager is riding a skateboard,down the street at breakneck speed,qwen2.5:latest
877,The boy is going to,the park to play soccer.,qwen2.5:latest
878,A basketball player in a blue,uniform scored a points basket at the last second.,qwen2.5:latest
879,A man has a hardcover illustrated book open in front,on his desk.,qwen2.5:latest
880,A band of asian students with different instruments wearing a white uniform with a yellow tie around the waist and a red tie across,standing together in harmony on stage performing music,qwen2.5:latest
881,Three boys playing,in the park loudly,qwen2.5:latest
882,A brown and white dog with a pink Frisbee in its mouth leaps through the,grass,qwen2.5:latest
883,"Two women, having drinks, are sitting down",at a cozy café discussing their weekend plans,qwen2.5:latest
884,"A man wearing a white construction hat, gray shirt and holding a yellow and",black tool belt stood by the entrance.,qwen2.5:latest
885,A boy is in midair after jumping,from the trampoline.,qwen2.5:latest
886,A man wearing a black shirt and,A man wearing a black shirt and,qwen2.5:latest
887,A little boy is watching,the sunset slowly disappear on the horizon,qwen2.5:latest
888,A little boy in a blue jacket,was playing in the park.,qwen2.5:latest
889,A muscular boy is in a gym and is using,a bench press to work on his upper body strength,qwen2.5:latest
890,The little girl is riding,on her new bicycle happily,qwen2.5:latest
891,the young children are,playing in the park,qwen2.5:latest
892,A man in a black knit hat is,wearing it to keep warm on a chilly day,qwen2.5:latest
893,Some people are gathered in front of a building,waiting for the official announcement to begin,qwen2.5:latest
894,A couple of people survey,were conducting a study on environmental awareness in the community,qwen2.5:latest
895,A woman crossing,the street saw a flash of something strange,qwen2.5:latest
896,A little girl sits on the beach digging in,the sand,qwen2.5:latest
897,a young skateboarder jumping a,bowl successfully,qwen2.5:latest
898,One boy is trying to kiss another,because he has a crush on him,qwen2.5:latest
899,A competition snowmobiler is,racing through the snowy trails at top speed.,qwen2.5:latest
900,a brown and white dog with his tongue,out伸着。,qwen2.5:latest
901,Man with a musical instrument,played a beautiful melody,qwen2.5:latest
902,A girl with blond-hair is holding a bottle and wearing a,red dress,qwen2.5:latest
903,An adult woman holding an umbrella is,standing in the rain,qwen2.5:latest
904,A woman is ordering food from a market,because she needs to prepare a meal for her family.,qwen2.5:latest
905,A woman in jeans sits next to a,man holding a coffee cup,qwen2.5:latest
906,there are two children walking along a beach,holding hands and collecting seashells,qwen2.5:latest
907,a man wearing a blue shirt smoking a,cigarette,qwen2.5:latest
908,A man with black hair and a black mustache sitting down and putting his,hat on,qwen2.5:latest
909,A person is drawing body,parts on the canvas,qwen2.5:latest
910,A violinist playing at,in a café corner吸引了所有人的注意,qwen2.5:latest
911,A woman wearing a white shirt and gray shorts,was walking in the park.,qwen2.5:latest
912,A dog leans off the dock to,catch a frisbeethrown by its owner,qwen2.5:latest
913,"A band, including some guitarists and a",drummer played together,qwen2.5:latest
914,A person falls into the mud while,slipping on a wet surface,qwen2.5:latest
915,Man in uniform waiting,for a suspect to arrive,qwen2.5:latest
916,Two puppies play with a red,ball in the park,qwen2.5:latest
917,An audience is watching,a performance on stage,qwen2.5:latest
918,A smiling man with a beard holds up a poster showing an,A smiling man with a beard holds up a poster showing an image of a cute puppy.,qwen2.5:latest
919,The man in sunglasses waited for the green crocodiles' mouth,to open so he could jump inside.,qwen2.5:latest
920,A man rides his,bike through the park,qwen2.5:latest
921,A elderly women sitting in a coffee shop,drank her morning espresso quietly,qwen2.5:latest
922,A person is watching a TV,screen,qwen2.5:latest
923,A father feeding his,baby son,qwen2.5:latest
924,A middle-aged biker sat on the side of,"the road, injured and waiting for help.",qwen2.5:latest
925,Cowboy at a rodeo hurls his,lariat around the steer's neck,qwen2.5:latest
926,A group of five men dressed in tan are in,walking through a desert landscape,qwen2.5:latest
927,A man in a safety vest and black hat wearing rubber gloves is crouched down,working on a spill in the laboratory,qwen2.5:latest
928,"A small child, sitting on the floor,",was engrossed in building a tower with blocks.,qwen2.5:latest
929,Barefoot grain workers sift,through the wheat to remove chaff.,qwen2.5:latest
930,A young girl wearing a red dress,ran through the fields of flowers,qwen2.5:latest
931,A person does a jump on a,trampoline for fun.,qwen2.5:latest
932,A man wearing a,A man wearing a black hoodie walked into the store.,qwen2.5:latest
933,A crowd,gathered around the stage,qwen2.5:latest
934,"three young boys playing hear no evil,","see no evil, speak no evil",qwen2.5:latest
935,Two people Kayaking on,the lake got separated when a wave hit them.,qwen2.5:latest
936,Two dogs biting on a,toy fiercely,qwen2.5:latest
937,A small group of people are standing,in silence near the entrance.,qwen2.5:latest
938,A large catamaran,sailed across the ocean under a clear sky,qwen2.5:latest
939,A person staring at a wall that,is covered in old photographs might be reminiscing about the past.,qwen2.5:latest
940,Person holds a flag in the wind,swaying proudly,qwen2.5:latest
941,People walking down,the street were dressed in colorful attire,qwen2.5:latest
942,A guy in black shirt is,holding a guitar in his hand,qwen2.5:latest
943,A woman is sitting outside at,night under the stars observing celestial bodies,qwen2.5:latest
944,A man shaving,in front of a mirror found his own reflection.,qwen2.5:latest
945,A man is outside sitting next,to a tree pondering life's mysteries.,qwen2.5:latest
946,A man in a purple had climbs,a mountain peak,qwen2.5:latest
947,an audience of children,was amazed by the magician's tricks,qwen2.5:latest
948,People fishing off,the pier must follow local regulations.,qwen2.5:latest
949,A man squatting and,holding a heavy object in his hands.,qwen2.5:latest
950,A young girl is blowing the,out all the candles on her birthday cake.,qwen2.5:latest
951,the shadows of what appears to be two men grabbing,are quickly moving towards the light.,qwen2.5:latest
952,A man,walked into the room silently,qwen2.5:latest
953,A person doing a handstand,on the balance beam,qwen2.5:latest
954,A man pours a,glass of wine,qwen2.5:latest
955,A child is looking at a red,flower,qwen2.5:latest
956,Asian people dressed in costumes and,were celebrating a festival,qwen2.5:latest
957,A woman walking on the street wearing a,raincoat and umbrella,qwen2.5:latest
958,A skier in a bright,yellow jacket sped down the slope.,qwen2.5:latest
959,People are sitting,in silence during the funeral.,qwen2.5:latest
960,A man playing with a small,dog in the park,qwen2.5:latest
961,Three uniformed workers are cleaning the,parkgrounds thoroughly today,qwen2.5:latest
962,A man using a scrub brush,was cleaning the old wooden floor,qwen2.5:latest
963,A young male mixes food in a,large bowl for his recipe,qwen2.5:latest
964,guy holding a knife,stabbed his victim in self-defense,qwen2.5:latest
965,The gray and white dog,ran to the park after the squirrel,qwen2.5:latest
966,"Three asian children, most prominently a young girl, in",wearing traditional clothing are playing near a river.,qwen2.5:latest
967,A man is sewing,on his old jacket to fix a tear.,qwen2.5:latest
968,A brown and white dog stands,in front of a green field,qwen2.5:latest
969,people stand outside,waiting for the movie to start,qwen2.5:latest
970,A girl wearing a red striped shirt is about to,jump into the pool,qwen2.5:latest
971,A young boy with a black shirt and jeans riding,a bicycle through the park,qwen2.5:latest
972,A skateboarder wearing blue jean and a gray shirt performs,a trick on the halfpipe,qwen2.5:latest
973,A male and a woman are on,were dancing together,qwen2.5:latest
974,A man wearing a suit and,A man wearing a suit and,qwen2.5:latest
975,"Two woman, both of which are",were wearing similar dresses,qwen2.5:latest
976,A man on a horse is,racing through the forest,qwen2.5:latest
977,An attractive woman in a red shirt and denim skirt is about,walking through the market,qwen2.5:latest
978,several men in biohazard suits carrying a human,were rushing to the medical facility,qwen2.5:latest
979,A man wearing a hat is standing on a,rooftop observing the cityscape.,qwen2.5:latest
980,A group of people pose in a,photo together for a commemorative image,qwen2.5:latest
981,A girl in a multicolored coat with fur accents,was walking through the snowy park,qwen2.5:latest
982,The boy is licking the spoon to taste,the delicious leftovers on it,qwen2.5:latest
983,"Africans in tribe clothes,",danced around the bonfire at night.,qwen2.5:latest
984,Two people in gloves and masks,were likely trying to keep their identities hidden.,qwen2.5:latest
985,A man plays guitar and sings into a microphone while a,crowd watches and listens intently,qwen2.5:latest
986,A crowd is staring at a screen,displaying live election results,qwen2.5:latest
987,Mom and her son put together,a puzzle last night,qwen2.5:latest
988,A little girl stares at something,in her hand.,qwen2.5:latest
989,A girl in a bright blue dress stands in the,park awaiting her friends to arrive,qwen2.5:latest
990,A short-haired woman,wore a red blouse to the meeting.,qwen2.5:latest
991,Men from two different teams are shaking hands; one is wearing a blue jersey,after realizing they were on the same side in an important match,qwen2.5:latest
992,Two young girls sit in lawn chairs in the woods,and gaze at the stars above.,qwen2.5:latest
993,a girl looks at,her reflection in the mirror,qwen2.5:latest
994,A man in a white tank hits a,a red button,qwen2.5:latest
995,A Black male is beside a building,waiting for someone,qwen2.5:latest
996,A man about to throw a bowling,ball into the pins but paused.,qwen2.5:latest
997,Two people ride up the mountain,to enjoy the sunrise at dawn,qwen2.5:latest
998,A dark man with glasses who is wearing a white shirt is sitting in the,chair,qwen2.5:latest
999,"A man wearing a white shirt, black slacks, and white socks, in a resort hotel",was likely attending a formal event or conference.,qwen2.5:latest
1000,A dog is running in water with,a toy in its mouth,qwen2.5:latest
1001,A skier in a black top making a jump with a blue,skier in the background,qwen2.5:latest
1002,Two men are at,in a heated argument over a debt.,qwen2.5:latest
1003,A man with glasses reads off a paper into,a microphone to address the crowd,qwen2.5:latest
1004,"A cowboy in a blue vest is riding a brahma bull, a man",is holding the rope to secure the bull.,qwen2.5:latest
1005,Group of pigeons flying,over the old cathedral ruins,qwen2.5:latest
1006,A group of people walk across snow,into a secluded cabin for a weekend getaway,qwen2.5:latest
1007,The boy is on the ground,because he tripped while running.,qwen2.5:latest
1008,"A skateboarding young man's soaring over rails, while city","A skateboarding young man's soaring over rails, while city lights flicker below him in the night.",qwen2.5:latest
1009,A man dressed in black is,standing silently in front of a burning building,qwen2.5:latest
1010,A man in a pink and white pinstriped shirt and brown,wore a red tie for the formal occasion,qwen2.5:latest
1011,A man watches a girl,from across the room.,qwen2.5:latest
1012,closeup of bartender (women) grabbing a,shot glass,qwen2.5:latest
1013,A male wearing yellow pants catches air as,he jumps over a small hill,qwen2.5:latest
1014,Men work on and around equipment on,Men work on and around equipment on construction sites to build structures.,qwen2.5:latest
1015,FireFighters monitoring a,wildfire from the air will continue until the flames are contained.,qwen2.5:latest
1016,Three couples are dancing on stage with,sparkling lights illuminating them,qwen2.5:latest
1017,A red metal sculpture is surrounded by,green foliage and flowers,qwen2.5:latest
1018,A poor village,needed significant aid and support.,qwen2.5:latest
1019,A man holds a net while a,fish swims by,qwen2.5:latest
1020,I see a bearded man and elderly,walking together in the park,qwen2.5:latest
1021,A woman holding a broom and duster is looking,at the dust-covered shelves in need of cleaning.,qwen2.5:latest
1022,Shoppers and walkers add vibrancy to the street on,weekends and holidays,qwen2.5:latest
1023,A man in a blue jacket and gloves is,standing guard outside the warehouse,qwen2.5:latest
1024,A dog chasing,a cat through the park,qwen2.5:latest
1025,A bearded man having his picture,taken in front of a bakery,qwen2.5:latest
1026,Six men wearing yellow suits and orange life vests are,working on a construction site by the river,qwen2.5:latest
1027,Young skateboarder doing a,trick on the ramp,qwen2.5:latest
1028,A man in a red coat stands outside of,the building waiting for someone to arrive.,qwen2.5:latest
1029,Two men wearing gray tank tops and khaki shorts are,standing near the food stall at the market,qwen2.5:latest
1030,A small child wearing a white,dress stood by the door,qwen2.5:latest
1031,The cowboy kneels down to put the,boot in the stirrup,qwen2.5:latest
1032,Two small children hold hands while climbing,up the hill together.,qwen2.5:latest
1033,young boys at,play soccer in the park,qwen2.5:latest
1034,A woman holding a yoga mat,walked into the studio for her morning practice,qwen2.5:latest
1035,A crowd of people,gathered around the stage,qwen2.5:latest
1036,A woman is smiling holding,a baby in her arms,qwen2.5:latest
1037,An older man is walking his,dog in the park.,qwen2.5:latest
1038,A woman on a bright street,wore a vibrant umbrella.,qwen2.5:latest
1039,Player number 23 dunks the basketball into the net,and wins the points for his team,qwen2.5:latest
1040,A man does a bike trick,to impress his friends,qwen2.5:latest
1041,Two men dressing up for a,costume party,qwen2.5:latest
1042,Man in black with orange kayak paddles through,the turbulent waters,qwen2.5:latest
1043,A man in a white shirt,was standing by the window observing the scene.,qwen2.5:latest
1044,An older woman walks by a wall,covered in graffiti.,qwen2.5:latest
1045,Women laying down,to protest against gender inequality,qwen2.5:latest
1046,Two white standard poodles playing,in the snow happily,qwen2.5:latest
1047,A man selling newspapers,on a busy street corner,qwen2.5:latest
1048,A busy city is filled with cars stuck in traffic along the,roads during rush hour.,qwen2.5:latest
1049,Man in blue boat,was fishing on the lake,qwen2.5:latest
1050,A man sitting on a bench,watched the sunset hoping for inspiration.,qwen2.5:latest
1051,A ceremonial parade being held is passing over,the street celebrating the festival traditions,qwen2.5:latest
1052,The cute baby in a diaper and,wearing a tiny hat made everyone smile,qwen2.5:latest
1053,The beautiful lady is walking,with grace and elegance,qwen2.5:latest
1054,A young girl wears,a beautiful floral dress for the occasion.,qwen2.5:latest
1055,A woman in an orange shirt and blue jeans,was walking down the street,qwen2.5:latest
1056,people enjoying a sunny,day at the park,qwen2.5:latest
1057,Two children are in a pool with,no lifeguards nearby,qwen2.5:latest
1058,A fire extinguisher sits on a barricade next to a,burning building,qwen2.5:latest
1059,A group of people in orange shirts walk down a narrow street with cars on the,side,qwen2.5:latest
1060,Lots of people,attended the event despite the bad weather.,qwen2.5:latest
1061,A crowd of people watching a balloon,ascend into the sky,qwen2.5:latest
1062,A guy with his legs up in the air at,was doing a bicycle stand trick,qwen2.5:latest
1063,A man in tricycle carries,a heavy load of fruits to the market,qwen2.5:latest
1064,"Three women with headscarfs holding packages,",were standing outside the market,qwen2.5:latest
1065,A woman in an apron cleans a table that,is covered in flour and baking utensils,qwen2.5:latest
1066,Two guards in blue uniform talk to,each other about the upcoming shift changes.,qwen2.5:latest
1067,Two vehicles are parked outside,waiting for their owners,qwen2.5:latest
1068,A toddler runs toward the,pool without noticing the danger.,qwen2.5:latest
1069,A crowd of people are standing and,waiting for the concert to start,qwen2.5:latest
1070,A woman drawing portrait while a,man sits in front of her.,qwen2.5:latest
1071,Two young boys pose with a,big smile in front of the playground equipment,qwen2.5:latest
1072,"A woman is looking through a telescope, inside a",observatory,qwen2.5:latest
1073,Man in white tank top holding drumsticks and sitting in front of,drums on a stage awaiting his cue to play,qwen2.5:latest
1074,There are three men having a,quiet discussion in the corner.,qwen2.5:latest
1075,White dog on mountainside turns to face,the camera and barks loudly.,qwen2.5:latest
1076,A boy in a green,shirt ran towards the park,qwen2.5:latest
1077,A muscled African man,was lifting weights at the gym.,qwen2.5:latest
1078,The black dogs try to wrestle the,ball from the brown dog,qwen2.5:latest
1079,A little kid wears some funny glasses that are,A little kid wears some funny glasses that are shaped like bananas.,qwen2.5:latest
1080,Group of people dance with,enthusiasm and joy,qwen2.5:latest
1081,Several women in brightly patterned skirts,were dancing joyfully under the tropical sun,qwen2.5:latest
1082,These young ladies with one little girl are at a flea market,selling handmade crafts and vintage items,qwen2.5:latest
1083,A man piloting a boat with,A man piloting a boat with stormy weather approaching faced challenging conditions.,qwen2.5:latest
1084,The man falls into the water while his,boat drifts away,qwen2.5:latest
1085,There is a movie star's picture hanging,in every room of the mansion.,qwen2.5:latest
1086,The woman in the swimming suit is holding up,"a sign that says ""Come join us!""",qwen2.5:latest
1087,A group of men,entered the room silently,qwen2.5:latest
1088,Two people at the top of,the mountain shared a moment of silence.,qwen2.5:latest
1089,A dozen workers wearing uniforms & sanitation hats are working,in the kitchen to prepare for the event.,qwen2.5:latest
1090,A teenage boy wearing a white shirt is sitting down,and staring out the window.,qwen2.5:latest
1091,A man in a striped shirt,was standing by the window observing the rain.,qwen2.5:latest
1092,A large furry dog walking through the water with,a retriever fetching a duck,qwen2.5:latest
1093,A policeman rides on a motorcycle,through the busy streets,qwen2.5:latest
1094,"A motorcycle entertainer at night in red jersey, gray pants, red boots",performed thrilling tricks on the busy street,qwen2.5:latest
1095,Some young children,were fascinated by the magic show,qwen2.5:latest
1096,A woman shears a sheep in,the fields on a sunny morning,qwen2.5:latest
1097,A young woman in a cupcake,wearing a cupcake-themed outfit attended the baking competition.,qwen2.5:latest
1098,Seven children dressed for cold weather on a brick street,holding hands while waiting for the school bus,qwen2.5:latest
1099,A dirt biker is riding through,a muddy trail,qwen2.5:latest
1100,A group of people are sitting around a large,table discussing their plans for the future.,qwen2.5:latest
1101,A little boy stands at a football field and,waits for his turn to kick the ball.,qwen2.5:latest
1102,"Two dogs stand on sand surrounded by water, a deflated",beach ball nearby,qwen2.5:latest
1103,A man in a blue raincoat,was standing outside the café.,qwen2.5:latest
1104,A picture of white,A picture of white snow covered mountains.,qwen2.5:latest
1105,Someone with a black helmet and full,face mask rode by on a motorcycle.,qwen2.5:latest
1106,A seated man,was quietly reading a book.,qwen2.5:latest
1107,A young man is leaning on a tree in,"a quiet park, lost in thought.",qwen2.5:latest
1108,A man in a gray t-shirt atop a ladder reaching,was carefully cleaning the storefront window signs.,qwen2.5:latest
1109,A woman with a black belt is,capable of defending herself effectively.,qwen2.5:latest
1110,A man checks the rear tire of a,trailer before hitting the road.,qwen2.5:latest
1111,Older man standing in the back,of the crowd watched silently.,qwen2.5:latest
1112,A woman who is barefooted rolls the,mat into a carpet,qwen2.5:latest
1113,A child in a blue shirt,was running around the playground,qwen2.5:latest
1114,A crowd of people waving red flags,gathered outside the government building,qwen2.5:latest
1115,A girl in green and a man,wore matching outfits for the occasion.,qwen2.5:latest
1116,A gold medalist is celebrating his win next to,the podium where he stood victorious.,qwen2.5:latest
1117,Boy at fair,was excited to try the Ferris wheel,qwen2.5:latest
1118,A woman in a purple half shirt and,wearing a black skirt danced gracefully to the music,qwen2.5:latest
1119,People in or near water with,People in or near water with lifeguards are generally safer.,qwen2.5:latest
1120,"Run, run careful do",you must avoid the obstacles,qwen2.5:latest
1121,Two people sit on a park bench admiring the,view of the sunset together,qwen2.5:latest
1122,Women manually turns a,crank to start the engine.,qwen2.5:latest
1123,A man does tricks with his,A man does tricks with his skateboard.,qwen2.5:latest
1124,People are riding their,bicycles to work today.,qwen2.5:latest
1125,A jockey and horse in the middle of other jockeys and horses during,a race battle for the lead,qwen2.5:latest
1126,A man with an arm cast films something on video,at his wrist surgery rehabilitation exercise,qwen2.5:latest
1127,A man in a black jacket is riding,a motorcycle through the city streets.,qwen2.5:latest
1128,A bull charges a man in,an attempt to protect itself or its territory,qwen2.5:latest
1129,Two teenage helping their mother to carry their small brother,in the kitchen.,qwen2.5:latest
1130,Young people sitting in the tall,building were discussing future plans.,qwen2.5:latest
1131,A black man holding a protest,was marching peacefully through the streets,qwen2.5:latest
1132,Several people wait,in silence for their turn to speak.,qwen2.5:latest
1133,Two people talk while,sitting in a quiet café,qwen2.5:latest
1134,"Four men in white T-shirts, blue",stood outside the entrance welcoming guests,qwen2.5:latest
1135,A male doing a,backflip off a cliff,qwen2.5:latest
1136,A woman in a pink shirt takes a photo of a man standing,holding an umbrella against the rain.,qwen2.5:latest
1137,"An Asian couple poses on a tree for a wedding photo, while",a group of playful monkeys surround them.,qwen2.5:latest
1138,"A child, asleep on",in his father's arms,qwen2.5:latest
1139,A dog wears an embellished bow while laying,on the floor.,qwen2.5:latest
1140,A man inspects,the damage after the storm hit the neighborhood,qwen2.5:latest
1141,A man with sunglasses is,walking towards the beach,qwen2.5:latest
1142,A player sliding in to base as,he collided with the baseman,qwen2.5:latest
1143,A man rides his bicycle through some,fields and countryside roads.,qwen2.5:latest
1144,A young man with glasses is sitting on a,park bench reading a book,qwen2.5:latest
1145,A child in a,playground needed help to climb a tall slide.,qwen2.5:latest
1146,A man surfs,on the waves of the ocean,qwen2.5:latest
1147,Two martial art athletes compete in front of an,audience,qwen2.5:latest
1148,Blond girl and young boy riding a,blond girl and young boy riding a carousel horseialiased as: carousel horse,qwen2.5:latest
1149,A man preparing his gondola,for a day on the canal,qwen2.5:latest
1150,Men are dancing,to celebrate the occasion,qwen2.5:latest
1151,"A woman in a blue shirt attempting to take a picture of a man in a wheelchair, two men dressed in military uniform, a",standing near them observing.,qwen2.5:latest
1152,A group of women converse together while,sipping tea and sharing stories.,qwen2.5:latest
1153,Many children in loincloths and two older,were playing a lively game of tag in the sunlit courtyard,qwen2.5:latest
1154,A man is doing a back flip on a,trampoline,qwen2.5:latest
1155,Some kids at a,playground were laughing at his drawing skills.,qwen2.5:latest
1156,A man in a white shirt is reading a,book,qwen2.5:latest
1157,"Two people, one seated wearing jeans, one kneeling, look",into each other's eyes,qwen2.5:latest
1158,A couple standing in an ally,had a secret meeting,qwen2.5:latest
1159,An adult raises his hands towards a,child in a gesture of peace or surrender.,qwen2.5:latest
1160,A tugboat is parked at the pier,waiting for the ship to arrive,qwen2.5:latest
1161,A construction crew works,day and night to finish the project on time.,qwen2.5:latest
1162,Dozens of people are,crushed in the stampede,qwen2.5:latest
1163,Man holding a beer throws a basketball,into the hoop at the bar,qwen2.5:latest
1164,Two people overlooking a body,of water together.,qwen2.5:latest
1165,A family playing on a tractor,took turns riding in the cab,qwen2.5:latest
1166,A little girl in pink and,wearing a smile on her face,qwen2.5:latest
1167,"A person in a blue kayak,",was paddling downstream on the river.,qwen2.5:latest
1168,A young girl in black shorts is putting her,foot into the water at the beach.,qwen2.5:latest
1169,"Three Asian women, one elderly, one a child and",one in her prime,qwen2.5:latest
1170,An older guitar player is,teaching a young guitarist some chords,qwen2.5:latest
1171,A man reaches high to help,a woman who fell off a ladder.,qwen2.5:latest
1172,a man in a purple shirt is standing in,front of the crowd addressing them,qwen2.5:latest
1173,A man is,walking down the street at midnight.,qwen2.5:latest
1174,Two teenagers huddle in a,corner to avoid detection,qwen2.5:latest
1175,A black and white dog jumps a red and white hurdle,over the backyard fence,qwen2.5:latest
1176,Women in a red sports bra and,spandex shorts are likely enjoying an intense workout.,qwen2.5:latest
1177,A woman and child are holding hands walking up,a hill in a park.,qwen2.5:latest
1178,One guy bowling a,strike to win the game,qwen2.5:latest
1179,Several people reading newspapers,at the bus stop waited for their ride to arrive,qwen2.5:latest
1180,The man with the ponytail,had a unique style that caught everyone's attention,qwen2.5:latest
1181,The boy swings next,to the treehouse,qwen2.5:latest
